Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
Vari-Lite VL3000 Wash,14° - 60°,1600W,,,511,,12.32,16-Bit Enhanced,16,LX5-VLWASH,,,,,,,34kg,LX_4,"0,010m","8,290m","-8,935m",-180°,"0,0°",-180°,0°,0°,No,0°,0°,No,0°,0°,4e41174c-8d64-4b67-9abc-cc5373354b84,
Vari-Lite VL3500 Spot,10° - 56°,1600W,,,502,,12.48,16-Bit Enhanced,31,LX5-VLSPOT,,,,,,,41kg,LX_4,"3,327m","8,290m","-8,935m",-180°,"-0,0°",-180°,0°,0°,No,0°,0°,No,0°,0°,630a647c-0408-4535-9974-393d1a0d1a11,
Robe Robin T1 Profile,10° - 45°,650W,,,311,19,10.69,3 Five Colours 2.0,53,LX3-T1,,,,,,,"24,3kg",LX_2,"-2,713m","7,157m","-5,258m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,f986fe6a-da9e-43e5-befc-5601c7409910,
Robe Robin T1 Profile,10° - 45°,650W,,,313,19,10.175,3 Five Colours 2.0,53,LX3-T1,,,,,,,"24,3kg",LX_2,"2,687m","7,157m","-5,258m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,c318fa9f-4028-4ab3-9e46-3f335361756a,
Robe Robin T2 Profile,5° - 55°,1150W,,,411,20,11.69,3 Five Colours 1.9,56,LX4-T2,,,,,,,"36,9kg",LX_3,"-2,711m","7,160m","-6,778m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,5f927e3b-4abd-40c6-9a43-44f453bc1e32,
Robe Robin T2 Profile,5° - 55°,1150W,,,413,20,11.181,3 Five Colours 1.9,56,LX4-T2,,,,,,,"36,9kg",LX_3,"2,689m","7,160m","-6,778m",0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,5168d86c-8e35-409d-86ea-c8c171b335a8,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,1,,401,17,11.1,1 - Standard 16-Bit,17,LX4-PARFECT,,,,,,-3m,5kg,LX_3,"-3,3m","6,973m","-6,973m",0°,0°,0°,0°,0°,No,,,No,,,c0e03627-1164-465e-a88c-049733fc5760,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,2,,301,17,10.1,1 - Standard 16-Bit,17,LX3-PARFECT,,,,,,-3m,5kg,LX_2,"-3,313m","6,973m","-5,258m",0°,0°,0°,0°,0°,No,,,No,,,479a654c-8960-478d-a2e2-55794533da35,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,402,17,11.18,1 - Standard 16-Bit,17,LX4-PARFECT,,,,,,,5kg,LX_3,"-1,111m","6,973m","-6,778m",0°,0°,0°,0°,0°,No,,,No,,,80163bad-472e-4912-9cc6-1584e2751f7b,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,302,17,10.18,1 - Standard 16-Bit,17,LX3-PARFECT,,,,,,,5kg,LX_2,"-1,113m","6,973m","-5,258m",0°,0°,0°,0°,0°,No,,,No,,,bb09047e-2bd3-4f51-8aa1-5276d4fb5667,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,403,17,11.35,1 - Standard 16-Bit,17,LX4-PARFECT,,,,,,,5kg,LX_3,"1,008m","6,973m","-6,778m",0°,0°,0°,0°,0°,No,,,No,,,de945b14-85c1-4167-a9e5-f9063e6dd80b,
Robe Robin ParFect 150 RGBW,"5,7° - 60°",300W,,,303,17,10.35,1 - Standard 16-Bit,17,LX3-PARFECT,,,,,,,5kg,LX_2,"1,087m","6,973m","-5,258m",0°,0°,0°,0°,0°,No,,,No,,,34c86f6f-040e-4c01-b97a-4ad96b5298f6,
